News Org,Tweets Ago,Date,Tweet,Compound,Positive,Neutral,Negative
@BBC,28,Wed Nov 29 09:02:06 +0000 2017,What is the capital of Thailand called? The answer might surprise you... 🇹 Via @BBCWorldService https://t.co/5H2G23XZaa,0.2732,0.13,0.0,0.87
@BBC,29,Wed Nov 29 08:45:04 +0000 2017,"'My father put me through hell.' 🎾
Jelena Dokic's career success came at a heavy personal price.… https://t.co/KNkkJVYdoS",0.5719,0.198,0.0,0.802
@BBC,30,Wed Nov 29 08:42:09 +0000 2017,"RT @bbcgetinspired: This is an amazing idea. 🙌

Forget the gym! Mermaiding is the new fitness trend that will give you a great workout 🧜‍♀️…",0.8553,0.33,0.061,0.609
@BBC,31,Wed Nov 29 08:37:54 +0000 2017,RT @TWBBC: Your phone could help stop disease epidemics. Imagine one day having a biochip which tests for diseases like Zika. (via @Wellcom…,0.4588,0.197,0.083,0.72
@BBC,32,Wed Nov 29 08:37:30 +0000 2017,"RT @CBeebiesHQ: Children at school draw a surgeon, a fighter pilot, and a firefighter.

👩‍⚕️👩‍✈️👩‍🚒

Most draw them as men.👨

#RedrawTheBal…",0.1531,0.086,0.0,0.914
@BBC,33,Wed Nov 29 08:36:59 +0000 2017,"RT @bbcpress: 🎁 A special Christmas gift from @BBCiPlayer. Boxsets of drama, natural history, comedy, family favourites, #EastEnders specia…",0.8625,0.449,0.0,0.551
@BBC,34,Wed Nov 29 08:33:05 +0000 2017,Ever wondered how a smartphone is put together? 📱 Via @BBCClick https://t.co/APUJaqh7aO,0.0,0.0,0.0,1.0
@BBC,35,Wed Nov 29 08:00:06 +0000 2017,🤖😬 Artificial Intelligence could overtake humanity by 2045. https://t.co/owm2Hzn3qu https://t.co/XCfxZg85pA,0.4767,0.256,0.0,0.744
@BBC,36,Wed Nov 29 07:38:03 +0000 2017,"'People are wasting time &amp; energy trying to cancel subscriptions.' 
Citizens Advice issue warning about subscriptio… https://t.co/KLRiSQt14p",-0.6124,0.095,0.32,0.586
@BBC,37,Tue Nov 28 19:42:29 +0000 2017,RT @bbccomedy: When your fella's away and invites his ridiculous parents to help with the kids. 👍 #Motherland - 10pm @BBCTwo 👉 https://t.co…,0.0516,0.116,0.108,0.776
@BBC,38,Tue Nov 28 19:42:18 +0000 2017,RT @BBCiPlayer: We'll always love you too Will Ferrell. 😆🎤 https://t.co/IzrsVsvUE2 https://t.co/Er2sKGutqG,0.6369,0.276,0.0,0.724
@BBC,39,Tue Nov 28 19:39:01 +0000 2017,"RT @BBCR1: Here's 14 of the best Live Lounge performances of 2017 - has your fave made the list? 🤔

https://t.co/aQVHqGBC01",0.7964,0.295,0.0,0.705
